features,class
"[-3.9064130e+02  1.7085809e+02 -4.9504784e+01  1.0882956e+01
  5.9779749e+00 -5.2486370e+01 -5.5334959e+00 -1.2698613e+01
 -4.9051014e+01 -1.5986012e+01 -2.2054878e+01 -4.1508408e+01
 -1.2909853e+01 -1.6460173e+01 -2.7392038e+01 -6.3750129e+00
 -8.0687551e+00 -1.1976995e+01 -1.1759360e+00 -7.7469559e+00
 -8.8961840e+00 -4.8934150e+00 -1.2405555e+01 -7.2943645e+00
 -4.2660508e+00 -1.1224054e+01 -1.8285969e+00  2.1572282e+00
 -5.1877575e+00 -1.2704966e+00 -4.7358003e+00 -1.0709028e+01
 -2.1510737e+00 -2.3477132e+00 -5.0058527e+00 -3.3394277e-01
 -8.7329140e+00 -1.2127883e+01 -4.0866819e-01  2.1631556e+00]",Number_2
"[-395.92184     170.20844     -46.659492      9.424724      2.307114
  -50.740665     -1.7442017   -11.278466    -45.99848     -11.98048
  -21.464197    -42.442738    -12.991784    -15.719742    -26.374458
   -6.309177     -6.8319125    -8.754688     -1.2130911   -11.71546
  -13.008562     -9.943978    -18.10702      -9.304302     -0.87404746
   -6.300618     -2.3020144    -4.3944144   -11.694529     -5.24405
   -4.0825086    -4.1514297     1.2797279    -6.444799     -8.52322
   -1.4466568    -8.401254     -5.7252917     9.059348      9.326278  ]",Number_2
"[-404.74054    169.28738    -45.80213      4.6753144    6.161211
  -43.613846    -2.5078645  -10.506216   -45.500538   -17.75571
  -23.474148   -40.06707    -13.222986   -15.750168   -24.916649
   -5.9511704   -8.6845665  -12.187156    -2.3619413  -10.745637
  -12.483196    -7.088707   -13.546778    -7.3221707   -2.0383177
   -9.446478    -2.9670944   -1.3287112   -9.967075    -2.9581754
   -1.8681593   -8.977526    -2.5261874   -3.8668697  -10.12351
   -3.4894595   -5.141412    -8.905682     0.8054781    6.035224 ]",Number_2
"[-409.20398    170.41939    -40.10799      9.555328     4.925525
  -44.260414    -0.4393337  -11.937885   -45.88311    -12.303341
  -19.883755   -41.242188   -14.443832   -16.923004   -26.687315
   -6.197592    -8.039232   -13.733473    -6.70637    -14.58958
  -12.766894    -4.9867454  -12.298898    -7.8049808   -2.696101
  -11.199293    -8.068934    -5.90584    -10.592216    -4.448658
   -4.841437    -8.514913    -1.79637     -5.5382123   -7.4708123
    6.1307635    7.244558     4.496215    14.8229265   17.994492 ]",Number_2
"[-4.0424484e+02  1.6287898e+02 -4.4830463e+01  1.4185330e+01
  8.0085096e+00 -4.3754829e+01  3.0692434e+00 -1.2208144e+01
 -5.1355415e+01 -1.6856697e+01 -2.3139746e+01 -4.1864174e+01
 -1.1388570e+01 -1.3455277e+01 -2.3336409e+01 -3.7960353e+00
 -7.7917528e+00 -1.2395656e+01 -4.1760530e+00 -1.3978831e+01
 -1.4128972e+01 -7.6906738e+00 -1.3708301e+01 -5.7132092e+00
 -3.1640464e-01 -9.6315260e+00 -6.4793000e+00 -5.4994054e+00
 -8.0035419e+00  8.9785767e-01 -3.2344677e+00 -8.8882294e+00
 -2.1303368e-01 -7.1074886e+00 -1.3137771e+01 -1.0987029e+00
 -4.0190525e+00 -9.9604740e+00 -9.3538630e-01  1.0662448e+00]",Number_2
"[-3.98338104e+02  1.60244904e+02 -4.40336838e+01  1.03181124e+01
  5.28022289e+00 -4.43140869e+01  4.97780561e+00 -4.78059006e+00
 -4.59444275e+01 -1.47672787e+01 -1.97916565e+01 -4.44140854e+01
 -1.73248806e+01 -1.23360939e+01 -2.20992737e+01 -6.12951803e+00
 -6.65127087e+00 -1.16041451e+01 -6.63178921e+00 -1.46063385e+01
 -1.32874680e+01 -5.78097916e+00 -1.14948330e+01 -8.58944702e+00
 -6.44215679e+00 -1.36158428e+01 -8.62229156e+00 -6.24083328e+00
 -9.52391052e+00 -3.98555064e+00 -7.24406672e+00 -8.95152760e+00
  1.44939339e+00 -5.27502966e+00 -1.21242485e+01  3.57634664e-01
  1.05092227e+00  1.83981419e-01  1.67294197e+01  2.37176514e+01]",Number_2
"[-406.87534     166.02634     -41.012794     15.144287      9.517675
  -44.35317      -0.96509963   -9.7787285   -42.752853    -12.322587
  -20.968718    -39.75517     -14.532408    -17.264347    -21.654045
   -2.2758238    -8.967141    -13.844882     -8.124609    -18.84592
  -15.053922     -5.92513     -11.189241     -4.519341     -4.0486474
  -13.800552     -5.964271     -5.9666696   -11.591871     -0.508861
   -4.067111    -12.1130295    -2.4815998    -8.169234    -14.463389
    1.2599471     4.2826033     0.930122      9.07814       7.6173086 ]",Number_2
"[-4.02859741e+02  1.78529999e+02 -5.10573044e+01  1.24058475e+01
  1.25260210e+01 -4.60685577e+01  1.79957294e+00 -4.95310497e+00
 -4.58677216e+01 -1.56024218e+01 -2.00037575e+01 -4.04479256e+01
 -1.29080057e+01 -1.10050354e+01 -1.89360275e+01 -4.26775312e+00
 -1.14136486e+01 -1.61883049e+01 -8.29876804e+00 -1.51127605e+01
 -9.48697662e+00 -1.92146635e+00 -1.21979904e+01 -7.93710613e+00
 -4.37328196e+00 -1.40401964e+01 -8.12793159e+00 -5.00471687e+00
 -9.19198990e+00 -5.84518135e-01 -3.61371970e+00 -1.12261496e+01
 -3.10458589e+00 -8.31565571e+00 -1.50849695e+01 -8.38826776e-01
  2.61986208e+00 -2.23491669e-01  1.20273170e+01  1.80076790e+01]",Number_2
"[-3.3408337e+02  2.0151610e+02 -6.8017998e+01  3.1929413e+01
  4.5595116e+01 -3.9347672e+01 -1.6368193e+01 -1.8811357e+01
 -2.2555676e+01  1.5506537e+01 -1.8177534e+01 -3.4812626e+01
  3.9497163e+00 -1.2978045e+01 -1.8205742e+01  1.0794854e+01
 -9.2473955e+00 -1.3633932e+01  9.7708416e+00 -6.8590360e+00
 -1.2904782e+01 -3.5505399e-01 -1.1772593e+01 -1.0653071e+01
 -2.2312300e+00 -1.1087899e+01 -8.0033140e+00 -3.4995859e+00
 -8.8301582e+00 -3.4583590e+00  1.0558024e-01 -1.1049854e+00
  9.8036820e-01 -3.6800578e+00 -3.0377195e+00  2.1518409e+00
 -3.6920412e+00 -3.5112097e+00 -1.2122139e+00 -9.4509268e+00]",Number_2
"[-3.4983102e+02  2.0348506e+02 -4.8749714e+01  3.7497742e+01
  3.7499771e+01 -3.8667511e+01 -1.0413947e+01 -1.6447296e+01
 -2.3839813e+01  1.5566223e+01 -1.7889732e+01 -3.5479286e+01
  4.4904838e+00 -1.1516121e+01 -1.6900511e+01  1.2353259e+01
 -9.3142557e+00 -1.3043549e+01  1.3888740e+01 -5.0053744e+00
 -1.2669436e+01  4.4578395e+00 -9.6712942e+00 -1.4038738e+01
 -3.0280948e-01 -6.9523468e+00 -1.0067239e+01 -6.1278877e+00
 -9.2875128e+00 -3.5043056e+00  2.3654120e+00 -3.2200631e-01
 -1.1201433e+00 -3.3649330e+00 -2.8688705e+00 -1.3647155e-01
 -3.8918808e+00 -2.8479168e+00 -7.2075289e-01 -6.9708304e+00]",Number_2
"[-3.70061340e+02  1.69442184e+02 -1.42812567e+01  2.68088455e+01
  2.76486187e+01 -2.92490349e+01 -1.73106022e+01 -1.19309683e+01
 -2.28767681e+01 -1.03695717e+01 -1.96232510e+01 -2.19212837e+01
 -7.72144556e+00 -1.97982254e+01 -1.36558285e+01  6.11781454e+00
 -9.89451313e+00 -1.10934153e+01  4.48438978e+00 -9.95912552e+00
 -1.11660223e+01  3.66758919e+00 -7.12987280e+00 -1.23235235e+01
 -5.26019907e+00 -1.00684338e+01 -9.13671970e+00 -8.62326622e+00
 -1.44047823e+01 -3.28540993e+00  2.42696786e+00 -9.63576984e+00
 -7.46613550e+00 -2.36615032e-01 -3.67420101e+00 -1.15181124e+00
  1.40757585e+00 -2.55558157e+00 -2.97574806e+00 -5.59452105e+00]",Number_2
"[-3.66051575e+02  1.63981155e+02 -1.28798018e+01  1.68564796e+01
  2.20565243e+01 -2.57442417e+01 -1.91334972e+01 -1.20709295e+01
 -1.79989929e+01 -1.05713253e+01 -2.18002930e+01 -2.19903355e+01
 -8.57747650e+00 -1.83163834e+01 -1.22334394e+01  3.61322045e+00
 -1.00660038e+01 -8.52621174e+00  4.52732944e+00 -9.82311916e+00
 -9.86422157e+00  3.73433709e+00 -7.39193106e+00 -1.29354172e+01
 -6.29138994e+00 -1.06150093e+01 -9.34568882e+00 -6.10021830e+00
 -1.00303545e+01 -3.70375919e+00 -1.15314078e+00 -1.03893538e+01
 -7.55359268e+00 -1.83224320e+00 -4.85737324e+00 -2.23193336e+00
  2.21832603e-01 -3.29697943e+00 -3.25913763e+00 -4.44861984e+00]",Number_2
"[-3.88938416e+02  1.67242981e+02 -1.05621252e+01  4.38336067e+01
  2.80057583e+01 -4.31498947e+01 -2.11771584e+01 -7.79481936e+00
 -1.73944664e+01 -6.94894028e+00 -2.56715031e+01 -2.62689419e+01
 -2.17003965e+00 -1.65676727e+01 -1.51011848e+01  5.91631031e+00
 -1.20954418e+01 -1.30548210e+01  7.18452215e+00 -7.42859030e+00
 -1.10876799e+01  4.94855499e+00 -4.74261236e+00 -1.14236927e+01
 -5.55031776e+00 -1.02529545e+01 -9.00445747e+00 -6.20909214e+00
 -1.07620192e+01 -5.09008217e+00 -2.84971356e+00 -1.13305340e+01
 -9.55771446e+00 -4.69092226e+00 -4.84421825e+00 -1.31377113e+00
  1.10176858e-02 -2.44164276e+00 -3.22553730e+00 -4.98188114e+00]",Number_2
"[-3.4692514e+02  1.8874483e+02 -4.6925091e+01  3.5790848e+01
  4.3132164e+01 -3.0753696e+01 -1.4897437e+01 -2.0337284e+01
 -2.4019571e+01  1.0131157e+01 -1.8585140e+01 -3.1179180e+01
  1.6697342e+00 -1.5158902e+01 -1.6749561e+01  8.1970901e+00
 -1.5925907e+01 -1.6012453e+01  1.3910769e+01 -3.8893778e+00
 -1.3357276e+01  3.0943241e+00 -7.2384915e+00 -1.1404984e+01
 -2.1650550e+00 -9.6253948e+00 -1.0013950e+01 -4.1973386e+00
 -8.5790482e+00 -6.0271711e+00 -3.1867463e-02 -5.6339216e-01
 -2.3526690e+00 -5.0300102e+00 -3.2117851e+00 -1.3620727e+00
 -5.5432649e+00 -3.7141445e+00 -2.5749633e+00 -8.2998085e+00]",Number_2
"[-3.65175201e+02  1.79398071e+02 -4.76864929e+01  3.12930717e+01
  4.43913689e+01 -2.60122433e+01 -1.54234495e+01 -2.16348152e+01
 -2.64069138e+01  8.47338772e+00 -1.47720270e+01 -3.14472847e+01
 -2.59892011e+00 -1.39861269e+01 -1.81403809e+01  4.16152763e+00
 -1.12033243e+01 -1.22287531e+01  9.35642529e+00 -5.12743807e+00
 -1.10367928e+01  2.24003959e+00 -8.08824348e+00 -1.10332470e+01
 -1.95364070e+00 -9.39512825e+00 -1.15129251e+01 -5.76644611e+00
 -7.87949514e+00 -6.02180767e+00 -9.60457683e-01  7.59690721e-03
 -1.49378896e+00 -4.43955612e+00 -1.84825015e+00 -3.02728742e-01
 -5.92491627e+00 -5.03914595e+00 -3.78452706e+00 -8.35214329e+00]",Number_2
"[-340.14294    187.15875    -53.98828     29.487679    44.289318
  -28.338522   -14.04261    -18.898884   -23.649172     9.203836
  -19.260025   -33.83814     -0.5097924  -16.075684   -19.702635
    8.184098   -10.131285   -14.165998    10.131013    -5.427216
  -12.444519     3.683688    -6.4940934  -11.885783    -4.304248
  -10.488947    -8.521566    -2.0199049   -7.259715    -6.129615
   -1.0703583   -0.6545322   -1.1193451   -4.5009923   -2.7046914
    1.1793362   -2.9462757   -2.212548    -0.6766998   -6.6429353]",Number_2
"[-330.44443    184.79283    -51.815174    38.375603    49.806164
  -31.101389   -23.245253   -27.357521   -23.817871    12.852076
  -18.676023   -30.088541     4.682969   -17.607752   -21.158163
   11.277166   -10.758499   -15.613464    14.525136    -2.2340195
  -14.8761015    1.1828697   -7.0806813  -11.36803     -1.9016495
   -8.49905     -9.469945    -4.0482993   -8.832973    -7.884286
   -2.4648342   -1.3130428   -1.0672666   -3.7025244   -3.6723516
   -2.209804    -4.9663386   -3.212469    -2.909086    -7.3486276]",Number_2
"[-3.56893555e+02  2.01408371e+02 -5.11967621e+01  3.40118446e+01
  4.31096764e+01 -3.42500496e+01 -1.47936964e+01 -1.84422665e+01
 -2.39917908e+01  1.34734955e+01 -1.34061127e+01 -3.02250061e+01
  4.02458429e-01 -1.54640503e+01 -1.54630384e+01  1.26327467e+01
 -1.06288338e+01 -1.47547407e+01  1.25780706e+01 -4.26057243e+00
 -1.44280062e+01  1.63130534e+00 -5.68346643e+00 -1.02337828e+01
 -4.53892899e+00 -9.88345051e+00 -7.51640844e+00 -4.72083855e+00
 -9.63321781e+00 -4.59594584e+00  1.80238083e-01  2.02129886e-01
  1.78266776e+00 -2.50052476e+00 -3.47859120e+00 -1.02633750e+00
 -5.23118639e+00 -2.86260295e+00 -2.09466770e-01 -7.57241201e+00]",Number_2
"[-3.4230276e+02  1.9158453e+02 -5.4728359e+01  3.5819786e+01
  4.7290356e+01 -3.2458340e+01 -1.4173743e+01 -2.0761766e+01
 -2.5780655e+01  1.2586650e+01 -1.7139086e+01 -3.3847832e+01
  1.3344793e+00 -1.4479251e+01 -1.8023148e+01  8.1095448e+00
 -1.3889806e+01 -1.5312233e+01  1.2910393e+01 -3.9855232e+00
 -1.3881501e+01  2.0263092e-01 -8.5978212e+00 -1.1226926e+01
 -3.6076031e+00 -7.7986884e+00 -5.0788627e+00 -4.0611596e+00
 -9.9628458e+00 -5.5717292e+00 -3.2919252e+00 -3.3966179e+00
 -2.0836405e-01 -4.4706836e+00 -3.3486235e+00  1.6696534e+00
 -4.2628784e+00 -3.8151748e+00 -9.6612930e-01 -7.7096467e+00]",Number_2
"[-351.4261      192.67842     -44.38737      33.33988      40.114605
  -28.242369     -9.5857      -19.273201    -21.98312      14.388563
  -18.690634    -33.604492      3.3904145   -14.326708    -20.24114
    8.414461     -9.322016    -13.773147      8.614505     -5.8894224
  -10.597191      2.254948     -9.258634     -9.421507     -0.38775462
   -9.596758     -9.470201     -3.6309466    -6.791667     -3.6188135
   -0.56506324   -1.6427904    -2.0062196    -6.5859356    -4.037989
    2.417003     -1.9995244    -3.6087494    -2.6257048    -7.3216033 ]",Number_2
"[-376.47507    164.44731    -32.983574    34.593964    29.735294
  -39.055702   -15.148731   -10.29823    -26.346731    -9.636211
  -23.457266   -20.839333     3.9012544  -20.716614   -23.862091
    6.782932    -4.6172647   -4.361055    15.531759    -5.5780306
  -13.426116     5.473992    -3.4811912  -10.053429    -2.437642
   -9.066098    -9.13087     -5.220164   -11.762674    -7.1025977
   -2.8735778  -11.383961    -9.010193    -3.4022822   -7.350269
   -5.6931043   -1.665141    -3.8448591   -5.0109224   -4.9084187]",Number_2
"[-358.18936     184.8593      -54.125397     41.458004     45.83836
  -37.173344    -18.065481    -20.19276     -23.551798     15.024994
  -13.378255    -32.372883     -2.0891619   -17.452133    -19.759966
    7.5409822    -9.876402    -13.045333      9.100258     -5.206267
  -12.272167     -0.374075     -7.186471     -9.536611     -4.9099855
   -7.1363096    -5.29033      -7.130039     -7.5535407    -1.051166
   -3.2305992    -2.3978026     0.51292884   -7.6323395    -4.624799
    1.8902355    -5.012577     -1.9365187     0.77072215   -8.377056  ]",Number_2
"[-418.45166    139.29613     -4.4426394   22.806484    19.699356
  -25.178047    -9.6532135   -6.1495132  -20.914837   -10.139698
  -13.530287   -18.047108    -5.6488442   -9.434959    -8.342138
    1.9845734   -9.265791   -10.811354     3.5694666   -2.0874925
   -7.952313    -2.5506778   -6.7076597   -9.108301    -6.0494795
   -7.8133783   -6.031226    -5.2361727   -8.436473    -3.9614422
   -2.0384526   -8.034979    -6.9375863   -1.985962    -1.4185603
   -1.3757408   -1.693919    -1.919298    -2.3354783   -4.6688395]",Number_2
"[-3.8640765e+02  1.7564029e+02 -3.0657377e+01  3.6515251e+01
  4.0856903e+01 -3.6283398e+01 -2.6775198e+01 -1.3788027e+01
 -1.5116240e+01 -4.8118582e+00 -2.8185598e+01 -2.7850237e+01
 -3.6487956e+00 -1.8053635e+01 -1.1714216e+01  6.7698698e+00
 -1.6345671e+01 -1.1004160e+01  1.1880684e+01 -8.4395227e+00
 -1.1157677e+01  5.5781441e+00 -5.7044406e+00 -8.6129227e+00
 -4.9927692e+00 -1.3892193e+01 -5.8997779e+00 -2.7857335e+00
 -1.4187001e+01 -4.0121179e+00  1.2488524e+00 -1.2324297e+01
 -9.3100796e+00 -3.2206309e+00 -5.4463882e+00 -3.0655101e-02
 -3.0602556e-01 -4.1732402e+00 -5.2389193e-01 -5.4726753e+00]",Number_2
"[-3.80146362e+02  1.73064636e+02 -8.24056339e+00  2.73515625e+01
  2.63367424e+01 -3.11836491e+01 -2.09539833e+01 -9.09883213e+00
 -1.51024179e+01 -1.00318794e+01 -2.46689510e+01 -2.13785229e+01
 -1.69611776e+00 -1.40819368e+01 -1.19053249e+01  2.92478943e+00
 -1.38379431e+01 -1.13478508e+01  6.20852089e+00 -8.97433567e+00
 -1.07227125e+01  3.56287742e+00 -7.38494921e+00 -1.18081150e+01
 -6.35500145e+00 -1.42087555e+01 -1.08178215e+01 -5.07604408e+00
 -1.18756571e+01 -4.23669958e+00  2.87545848e+00 -7.54501772e+00
 -6.80269289e+00 -2.07232133e-01 -3.56458879e+00 -1.48968327e+00
  8.14738035e-01 -4.23123980e+00 -4.37849140e+00 -3.97487855e+00]",Number_2
"[-3.6266351e+02  1.5952385e+02 -1.5632477e+01  2.7199787e+01
  3.0013069e+01 -3.3355865e+01 -2.8821297e+01 -1.5906848e+01
 -1.2921059e+01 -5.0642052e+00 -2.4763067e+01 -2.5693516e+01
 -7.9988046e+00 -1.7360279e+01 -8.4848394e+00  4.4868865e+00
 -1.5822761e+01 -8.2116728e+00  9.9939451e+00 -9.4873724e+00
 -9.8574457e+00  5.0084519e+00 -7.7941165e+00 -1.1090355e+01
 -5.8971944e+00 -1.3719899e+01 -8.9543352e+00 -5.8643222e+00
 -1.3793674e+01 -5.1008024e+00 -8.0544937e-01 -1.0655287e+01
 -6.6285181e+00 -2.3607364e+00 -5.2765136e+00  1.4463587e-01
 -4.0012881e-01 -5.6324763e+00 -1.6046057e+00 -3.5234461e+00]",Number_2
"[-3.6920291e+02  1.5513371e+02 -1.4286102e+01  3.0718927e+01
  3.1802168e+01 -3.3047207e+01 -2.2026308e+01 -7.5212388e+00
 -1.4357666e+01 -8.9947329e+00 -2.2680201e+01 -2.3971292e+01
 -8.1849117e+00 -1.5755734e+01 -7.8221154e+00  4.8112936e+00
 -1.4846898e+01 -9.9912710e+00  8.4810677e+00 -8.6000681e+00
 -1.1111491e+01  2.7559013e+00 -8.2329874e+00 -1.1524373e+01
 -6.4875846e+00 -1.5897723e+01 -1.2702273e+01 -6.4417109e+00
 -1.3195354e+01 -5.7254119e+00  2.3145554e+00 -6.2934704e+00
 -5.4791007e+00  2.4354629e-01 -2.7709761e+00 -1.6104757e+00
 -7.8787255e-01 -4.1638622e+00 -3.0684299e+00 -4.8372369e+00]",Number_2
"[-379.18262     153.32062     -22.815393     48.01154      45.400272
  -39.908634    -32.61754     -15.104126    -19.203949     -6.6364775
  -19.949793    -24.631945     -5.9253306   -15.251974    -14.460534
    1.7344528   -10.905574     -9.3969555     4.920426     -9.557952
   -8.686061      7.2014318    -5.3597684   -13.591006     -5.84946
   -8.62598      -9.083658     -7.349782    -10.784356     -5.056254
   -2.7112558   -10.843287     -9.402674     -3.5379076    -2.879372
   -1.0878587    -0.68354994   -1.6247917    -1.6396354    -4.4729924 ]",Number_2
"[-3.6384476e+02  1.5833923e+02 -1.6735029e+01  3.2751122e+01
  3.3237759e+01 -3.3488884e+01 -2.4755501e+01 -1.0927274e+01
 -1.5987153e+01 -7.2273002e+00 -2.1787415e+01 -2.6380922e+01
 -8.3506374e+00 -1.4308899e+01 -1.0179342e+01  3.8229520e+00
 -1.3294969e+01 -1.2592966e+01  7.7785006e+00 -3.6282678e+00
 -1.1411373e+01 -7.8293318e-01 -6.2280898e+00 -1.0286838e+01
 -7.3746490e+00 -1.3078268e+01 -1.0582152e+01 -5.5674410e+00
 -9.2248831e+00 -4.4861813e+00 -7.0014304e-01 -8.0541210e+00
 -8.5306883e+00 -4.3385406e+00 -3.3847868e+00  3.2872945e-01
  1.2570744e+00 -1.8216690e+00 -2.4043264e+00 -4.6494918e+00]",Number_2
"[-3.73787323e+02  1.67130997e+02 -1.29859705e+01  2.71629314e+01
  3.60974731e+01 -2.42488518e+01 -2.29212875e+01 -1.59236612e+01
 -1.89945354e+01 -4.57160282e+00 -1.62874527e+01 -2.54882317e+01
 -1.25167475e+01 -1.95479431e+01 -1.39003506e+01  5.53060341e+00
 -8.89243984e+00 -1.32618141e+01  4.76785421e+00 -5.01617908e+00
 -1.36028624e+01 -2.11604619e+00 -6.38849783e+00 -1.22835197e+01
 -8.50917244e+00 -1.24284248e+01 -1.11784430e+01 -6.32912588e+00
 -1.03266058e+01 -6.99015236e+00 -1.43101203e+00 -6.27048635e+00
 -5.47213936e+00 -4.27860528e-01 -1.75097895e+00 -8.82573903e-01
  3.10402423e-01 -3.65615821e+00 -5.97761345e+00 -5.95557451e+00]",Number_2
"[-379.60587    151.1419     -19.795261    26.600153    30.467688
  -29.244532   -21.707987   -11.663358   -19.179375   -10.242211
  -22.611917   -23.238604    -3.4548025  -15.349079   -15.937489
    6.551628    -3.1501071   -8.449858     5.3333936   -7.249714
  -13.09544      2.9191322   -2.68672    -12.311078    -7.108047
   -8.653947   -10.068199    -8.105698   -10.480427    -5.4670014
   -1.9024986   -9.222568    -8.591607    -1.5311924   -1.0601562
   -2.2020025   -3.4991806   -4.060134    -2.323682    -4.7869897]",Number_2
"[-3.8337195e+02  1.7717612e+02  2.8238907e+00  3.6239521e+01
  1.7644371e+01 -4.0818001e+01 -1.1589115e+01 -4.3838849e+00
 -2.3507898e+01 -1.3272427e+01 -2.3168810e+01 -2.2212811e+01
  3.7760389e-01 -1.4170606e+01 -1.7911390e+01  2.7555754e+00
 -6.8886414e+00 -7.3096142e+00  8.3329391e+00 -6.9159627e+00
 -1.3576026e+01  5.3023273e-01 -6.7263608e+00 -1.5387544e+01
 -1.2443394e+01 -1.3958665e+01 -9.1713409e+00 -5.5315094e+00
 -1.0130585e+01 -4.1822319e+00  5.3096473e-01 -6.5010467e+00
 -6.9323802e+00 -3.6841216e+00 -4.0776596e+00 -2.4898720e+00
 -3.3569458e+00 -5.6154790e+00 -4.4546981e+00 -4.4824057e+00]",Number_2
"[-359.37415    163.90973    -14.53727     30.719294    25.553543
  -37.2587     -19.983084    -8.05449    -23.242027   -14.012111
  -20.281057   -21.823662    -7.6092157  -17.44307    -12.410123
    6.221544    -8.522099   -10.637819     4.157119    -8.517721
   -8.256032     8.281188    -3.8289697  -14.204395    -7.7218437
   -9.929696    -8.399211    -4.812112   -10.021806    -5.9792533
   -2.7071106  -11.287207    -9.658902    -2.3896382   -3.160884
   -1.9455115   -1.0224253   -4.395722    -4.6557393   -4.743732 ]",Number_2
"[-337.253      156.65793    -28.615738    24.079947    34.949142
  -25.994791   -21.772549   -13.489598   -21.76237    -12.558815
  -21.973396   -22.266499    -8.154246   -19.078644   -13.710607
    3.7601402   -8.88928     -5.915928     8.016083    -8.7376795
  -10.474409     3.9577477   -5.7769036   -9.867101    -3.456551
   -9.360089    -8.9404955   -7.6197305  -13.307167    -5.987451
   -3.2994046  -13.805308    -9.739238    -1.2032412   -3.1422715
   -2.6462948   -2.7729416   -4.3410015   -1.7056673   -5.008584 ]",Number_2
"[-3.8428018e+02  1.6296608e+02 -1.4323529e+01  2.9689735e+01
  2.7715845e+01 -3.2693203e+01 -1.7029589e+01 -8.9463739e+00
 -2.2061140e+01 -1.1599974e+01 -1.9391207e+01 -1.9167881e+01
 -4.1283350e+00 -1.7385771e+01 -1.3676874e+01  4.9668498e+00
 -9.6912775e+00 -9.2543802e+00  6.0678248e+00 -8.7169752e+00
 -9.1373768e+00  5.4407773e+00 -7.1298876e+00 -1.2227123e+01
 -3.1826446e+00 -8.2849436e+00 -8.6716042e+00 -6.2559018e+00
 -1.1086333e+01 -3.6839943e+00 -9.9018902e-02 -1.0968872e+01
 -9.0488930e+00 -2.5106814e+00 -5.3344002e+00 -2.2580452e+00
  1.1475602e+00 -2.6268699e+00 -3.0518916e+00 -3.8714693e+00]",Number_2
"[-3.55005737e+02  1.91715195e+02 -5.82927361e+01  4.00692177e+01
  4.39509239e+01 -4.15646172e+01 -1.39291878e+01 -1.69359989e+01
 -2.70870590e+01  1.42029257e+01 -1.47938414e+01 -3.71439972e+01
 -2.37655863e-01 -1.40769205e+01 -2.01765060e+01  8.53279400e+00
 -1.20527658e+01 -1.52577305e+01  1.30191641e+01 -7.21793413e+00
 -1.63444691e+01  5.56874704e+00 -6.66920757e+00 -1.48757353e+01
 -1.85361242e+00 -8.05089188e+00 -1.06305742e+01 -4.07003546e+00
 -8.66609097e+00 -4.81044960e+00  3.83057499e+00 -1.10471636e-01
 -4.06875277e+00 -4.08052969e+00 -2.98775792e+00 -1.19659793e+00
 -3.09677291e+00 -3.20846939e+00 -2.84644604e+00 -7.09615278e+00]",Number_2
"[-4.0534412e+02  1.5582414e+02 -5.3979526e+00  4.3310535e+01
  3.3597393e+01 -3.7306412e+01 -2.1765739e+01 -6.0353451e+00
 -1.8068316e+01 -1.3483964e+01 -2.4434324e+01 -2.3546392e+01
 -3.0845482e+00 -1.1553845e+01 -1.3312903e+01 -1.6244798e+00
 -1.2461785e+01 -7.5573821e+00  5.9019208e+00 -1.0529371e+01
 -1.0751786e+01  5.7635975e+00 -4.4068356e+00 -1.1251438e+01
 -4.2543769e+00 -8.3864031e+00 -9.2269850e+00 -6.7629743e+00
 -1.0439858e+01 -4.9919720e+00 -9.8038524e-01 -8.1655922e+00
 -7.8463745e+00 -2.5185995e+00 -1.6588093e+00 -3.6908957e-01
 -1.1461418e+00 -2.7093115e+00 -2.1156530e+00 -4.6098828e+00]",Number_2
